+====================+===================+=====================================================+
| Launch Setup Clock | Launch Hold Clock | Pin                                                 |
| gclk               | gclk              | cpu_module/y_register_reg[390]/D                    |
| gclk               | gclk              | cpu_module/y_register_reg[28]/D                     |
| gclk               | gclk              | cpu_module/w_register_reg[916]/D                    |
| gclk               | gclk              | cpu_module/w_register_reg[664]/D                    |
| gclk               | gclk              | cpu_module/w_register_reg[1866]/D                   |
| gclk               | gclk              | cpu_module/w_register_reg[881]/D                    |
| gclk               | gclk              | cpu_module/w_register_reg[314]/D                    |
| gclk               | gclk              | cpu_module/w_register_reg[1387]/D                   |
| gclk               | gclk              | cpu_module/w_register_reg[722]/D                    |
| gclk               | gclk              | cpu_module/w_register_reg[1010]/D                   |
| gclk               | gclk              | cpu_module/w_register_reg[2011]/D                   |
| gclk               | gclk              | cpu_module/w_register_reg[1530]/D                   |
| gclk               | gclk              | cpu_module/w_register_reg[2076]/D                   |
| gclk               | gclk              | cpu_module/w_register_reg[1270]/D                   |
| gclk               | gclk              | cpu_module/w_register_reg[699]/D                    |
| gclk               | gclk              | cpu_module/w_register_reg[1884]/D                   |
| gclk               | gclk              | cpu_module/y_register_reg[502]/D                    |
| gclk               | gclk              | cpu_module/w_register_reg[1140]/D                   |
| gclk               | gclk              | cpu_module/x_register_reg[342]/D                    |
| gclk               | gclk              | cpu_module/w_register_reg[1285]/D                   |
| gclk               | gclk              | cpu_module/w_register_reg[1923]/D                   |
| gclk               | gclk              | cpu_module/w_register_reg[933]/D                    |
| gclk               | gclk              | weight_medium_module/internal_wrapper/x_reg[2085]/D |
| gclk               | gclk              | cpu_module/x_register_reg[669]/D                    |
| gclk               | gclk              | cpu_module/w_register_reg[1517]/D                   |
| gclk               | gclk              | cpu_module/w_register_reg[870]/D                    |
| gclk               | gclk              | cpu_module/w_register_reg[561]/D                    |
| gclk               | gclk              | cpu_module/w_register_reg[361]/D                    |
| gclk               | gclk              | cpu_module/y_register_reg[277]/D                    |
| gclk               | gclk              | cpu_module/w_register_reg[1437]/D                   |
| gclk               | gclk              | cpu_module/w_register_reg[163]/D                    |
| gclk               | gclk              | cpu_module/x_register_reg[691]/D                    |
| gclk               | gclk              | cpu_module/w_register_reg[125]/D                    |
| gclk               | gclk              | cpu_module/w_register_reg[672]/D                    |
| gclk               | gclk              | cpu_module/w_register_reg[1832]/D                   |
| gclk               | gclk              | cpu_module/w_register_reg[1572]/D                   |
| gclk               | gclk              | cpu_module/w_register_reg[204]/D                    |
| gclk               | gclk              | cpu_module/w_register_reg[867]/D                    |
| gclk               | gclk              | cpu_module/w_register_reg[1541]/D                   |
| gclk               | gclk              | cpu_module/w_register_reg[1646]/D                   |
| gclk               | gclk              | cpu_module/y_register_reg[384]/D                    |
| gclk               | gclk              | cpu_module/w_register_reg[569]/D                    |
| gclk               | gclk              | cpu_module/w_register_reg[1294]/D                   |
| gclk               | gclk              | cpu_module/w_register_reg[995]/D                    |
| gclk               | gclk              | cpu_module/w_register_reg[509]/D                    |
| gclk               | gclk              | cpu_module/w_register_reg[1400]/D                   |
| gclk               | gclk              | cpu_module/w_register_reg[1580]/D                   |
| gclk               | gclk              | cpu_module/x_register_reg[233]/D                    |
| gclk               | gclk              | cpu_module/w_register_reg[1455]/D                   |
| gclk               | gclk              | cpu_module/w_register_reg[800]/D                    |
| gclk               | gclk              | cpu_module/w_register_reg[1447]/D                   |
| gclk               | gclk              | cpu_module/w_register_reg[1473]/D                   |
| gclk               | gclk              | cpu_module/w_register_reg[1476]/D                   |
| gclk               | gclk              | cpu_module/w_register_reg[298]/D                    |
| gclk               | gclk              | cpu_module/w_register_reg[465]/D                    |
| gclk               | gclk              | cpu_module/w_register_reg[1841]/D                   |
| gclk               | gclk              | cpu_module/y_register_reg[432]/D                    |
| gclk               | gclk              | cpu_module/w_register_reg[929]/D                    |
| gclk               | gclk              | cpu_module/w_register_reg[1348]/D                   |
| gclk               | gclk              | cpu_module/x_register_reg[689]/D                    |
| gclk               | gclk              | cpu_module/x_register_reg[327]/D                    |
| gclk               | gclk              | cpu_module/y_register_reg[703]/D                    |
| gclk               | gclk              | cpu_module/w_register_reg[642]/D                    |
| gclk               | gclk              | cpu_module/x_register_reg[71]/D                     |
| gclk               | gclk              | cpu_module/w_register_reg[342]/D                    |
| gclk               | gclk              | cpu_module/w_register_reg[886]/D                    |
| gclk               | gclk              | cpu_module/w_register_reg[1556]/D                   |
| gclk               | gclk              | cpu_module/y_register_reg[685]/D                    |
| gclk               | gclk              | cpu_module/w_register_reg[176]/D                    |
| gclk               | gclk              | cpu_module/w_register_reg[1741]/D                   |
| gclk               | gclk              | cpu_module/w_register_reg[1112]/D                   |
| gclk               | gclk              | cpu_module/y_register_reg[388]/D                    |
| gclk               | gclk              | cpu_module/x_register_reg[284]/D                    |
| gclk               | gclk              | cpu_module/x_register_reg[314]/D                    |
| gclk               | gclk              | cpu_module/w_register_reg[1686]/D                   |
| gclk               | gclk              | cpu_module/w_register_reg[1853]/D                   |
| gclk               | gclk              | cpu_module/w_register_reg[1823]/D                   |
| gclk               | gclk              | cpu_module/w_register_reg[630]/D                    |
| gclk               | gclk              | cpu_module/w_register_reg[875]/D                    |
| gclk               | gclk              | cpu_module/y_register_reg[332]/D                    |
| gclk               | gclk              | cpu_module/w_register_reg[826]/D                    |
| gclk               | gclk              | cpu_module/w_register_reg[544]/D                    |
| gclk               | gclk              | cpu_module/x_register_reg[41]/D                     |
| gclk               | gclk              | cpu_module/w_register_reg[660]/D                    |
| gclk               | gclk              | cpu_module/w_register_reg[1543]/D                   |
| gclk               | gclk              | cpu_module/w_register_reg[406]/D                    |
| gclk               | gclk              | cpu_module/y_register_reg[46]/D                     |
| gclk               | gclk              | cpu_module/w_register_reg[146]/D                    |
| gclk               | gclk              | cpu_module/w_register_reg[231]/D                    |
| gclk               | gclk              | cpu_module/w_register_reg[1784]/D                   |
| gclk               | gclk              | cpu_module/w_register_reg[208]/D                    |
| gclk               | gclk              | cpu_module/w_register_reg[464]/D                    |
| gclk               | gclk              | cpu_module/w_register_reg[1450]/D                   |
| gclk               | gclk              | cpu_module/y_register_reg[516]/D                    |
| gclk               | gclk              | cpu_module/x_register_reg[205]/D                    |
| gclk               | gclk              | cpu_module/w_register_reg[201]/D                    |
| gclk               | gclk              | cpu_module/w_register_reg[1411]/D                   |
| gclk               | gclk              | cpu_module/w_register_reg[333]/D                    |
| gclk               | gclk              | cpu_module/w_register_reg[161]/D                    |
| gclk               | gclk              | cpu_module/w_register_reg[428]/D                    |
| gclk               | gclk              | cpu_module/w_register_reg[605]/D                    |
| gclk               | gclk              | cpu_module/w_register_reg[1445]/D                   |
| gclk               | gclk              | cpu_module/w_register_reg[458]/D                    |
| gclk               | gclk              | cpu_module/w_register_reg[131]/D                    |
| gclk               | gclk              | cpu_module/w_register_reg[1424]/D                   |
| gclk               | gclk              | cpu_module/w_register_reg[689]/D                    |
| gclk               | gclk              | cpu_module/w_register_reg[294]/D                    |
| gclk               | gclk              | cpu_module/w_register_reg[1232]/D                   |
| gclk               | gclk              | cpu_module/w_register_reg[303]/D                    |
+--------------------+-------------------+-----------------------------------------------------+
